ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Speaker_Area,Feature_IDs,Glottolog_Languoid_Level,Family
woiw1237,Woiwurrung-Thagungwurrung,,-37.64264501,145.5879962,woiw1237,,languages,236 237 239,language,Pama-Nyungan
wori1245,Worimi,,-32.4806,152.107,wori1245,,languages,391 394 396,language,Pama-Nyungan
worr1237,Worrorra,,-15.612781,124.881218,worr1237,,languages,184 185,language,Worrorran
wulg1239,Wulguru,,-19.85103121,146.3453957,wulg1239,,languages,245,language,Pama-Nyungan
wuli1242,Wuliwuli,,-24.415,149.843,wuli1242,,languages,125,language,Pama-Nyungan
wuln1239,Wulna,,-12.3022,131.261,wuln1239,,languages,368,language,Limilngan-Wulna
wulw1234,Wulwulam,,-13.817802,131.830997,wulw1234,,languages,329,language,Gunwinyguan
wuna1249,Wunambal,,-14.8347,125.72,wuna1249,,languages,189,language,Worrorran
wurr1238,Wurrugu,,-11.364,132.303,wurr1238,,languages,306,language,Marrku-Wurrugu
wuth1237,Wuthathi,,-11.971,143.0879,wuth1237,,languages,89,language,Pama-Nyungan
yadh1237,Yadhaykenu,,-11.314,142.725,yadh1237,,languages,69,language,Pama-Nyungan
yaga1256,Yagara-Jandai,,-27.87647555,152.4602773,yaga1256,,languages,116 117 119 120,language,Pama-Nyungan
yala1262,Yalarnnga,,-21.731,139.511,yala1262,,languages,315,language,Pama-Nyungan
yand1251,Yanda,,-21.23270508,140.5134756,yand1251,,languages,301,language,Pama-Nyungan
yand1253,Yandruwandha,,-28.4744,140.583,yand1253,,languages,300 399,language,Pama-Nyungan
yand1261,Yandjibara,,-24.746981,145.647382,yand1261,,languages,497,language,Pama-Nyungan
yang1288,Yangman,,-14.4964,132.52,yang1288,,languages,103,language,Yangmanic
yann1237,Nhangu,,-12.0853,134.877,yann1237,,languages,423 426,language,Pama-Nyungan
yany1243,Yanyuwa,,-15.7621,136.055,yany1243,,languages,108,language,Pama-Nyungan
yarl1236,Yarli,,-29.49049805,140.9591946,yarl1236,,languages,161 163 164,language,Pama-Nyungan
yawa1258,Yawarawarga,,-26.7334,140.871,yawa1258,,languages,403,language,Pama-Nyungan
yawu1244,Yawuru,,-18.004,122.693,yawu1244,,languages,345,language,Nyulnyulan
yayg1236,Yaygir,,-29.686722970453,153.18784362556,yayg1236,,languages,326,language,Pama-Nyungan
yidi1250,Yidiñ,,-17.1332,145.876,yidi1250,,languages,165,language,Pama-Nyungan
yind1247,Yindjibarndi,,-21.5379,117.001,yind1247,,languages,431,language,Pama-Nyungan
yind1248,Yindjilandji,,-19.24252,137.5894,yind1248,,languages,109,language,Pama-Nyungan
ying1247,Yinggarda,,-25.4446,115.58,ying1247,,languages,384 413,language,Pama-Nyungan
yinh1234,Yinhawangka,,-22.9178,117.5628,yinh1234,,languages,7 434,language,Pama-Nyungan
yinw1236,Yinwum,,-12.52068956,142.7036225,yinw1236,,languages,68,language,Pama-Nyungan
yira1239,Yirandhali,,-20.65810118,143.9625916,yira1239,,languages,38,language,Pama-Nyungan
yiry1245,Yir-Yoront,,-15.1117,141.767,yiry1245,,languages,160,language,Pama-Nyungan
yort1237,Yorta Yorta,,-35.9,145.01,yort1237,,languages,167 168,language,Pama-Nyungan
yuga1244,Yugambal,,-27.803,153.082,yuga1244,,languages,285 505 511,language,Pama-Nyungan
yugu1250,Yugul,,,,yugu1250,,languages,361,language,Unattested
yuru1264,Yuru,,-19.836,147.361,yuru1264,,languages,360,language,Pama-Nyungan
book1242,Bookkeeping,,,,book1242,,families,75 395 432 453 476,family,
buna1274,Bunaban,,,,buna1274,,families,256 257,family,
east2374,Eastern Daly,,,,east2374,,families,234 235 478,family,
garr1260,Garrwan,,,,garr1260,,families,319 320,family,
giim1238,Giimbiyu,,,,giim1238,,families,321 322 324,family,
gunw1250,Gunwinyguan,,,,gunw1250,,families,61 64 244 246 247 327 328 329 330 331 332 334,family,
iwai1246,Iwaidjan Proper,,,,iwai1246,,families,303 304 307 308 333,family,
jarr1235,Jarrakan,,,,jarr1235,,families,313 314 316,family,
limi1242,Limilngan-Wulna,,,,limi1242,,families,268 368,family,
mang1423,Mangarrayi-Maran,,,,mang1423,,families,354 363 364 420,family,
mani1293,Maningrida,,,,mani1293,,families,377 379 380 382,family,
marr1257,Marrku-Wurrugu,,,,marr1257,,families,305 306,family,
mirn1241,Mirndi,,,,mirn1241,,families,202 204 205 238 335 336 337 338,family,
nort1547,Northern Daly,,,,nort1547,,families,80 481,family,
nyul1248,Nyulnyulan,,,,nyul1248,,families,176 178 179 180 181 345 347 348 349 350,family,
pama1250,Pama-Nyungan,,,,pama1250,,families,1 2 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27 29 30 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 51 52 53 54 55 56 57 58 60 65 66 67 68 69 70 71 72 73 77 78 79 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 105 107 108 109 110 111 113 114 115 116 117 119 120 125 127 128 129 130 131 132 134 137 139 140 141 142 143 144 146 148 151 152 153 154 155 158 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 177 191 192 193 194 196 197 198 199 200 201 203 206 207 214 215 216 218 219 220 222 223 224 225 226 227 228 229 231 232 233 236 237 239 240 241 242 243 245 248 250 251 252 253 254 258 259 261 262 263 264 265 266 269 270 273 274 275 276 277 278 279 280 282 285 286 287 288 289 290 291 293 294 295 296 297 298 299 300 301 302 309 310 311 312 315 317 318 323 325 326 339 340 341 342 343 344 346 351 352 353 355 356 358 359 360 362 365 366 369 370 371 372 373 375 376 378 381 383 384 385 386 387 388 389 390 391 392 393 394 396 398 399 400 401 402 403 404 405 406 407 408 409 410 411 412 413 419 421 422 423 424 425 426 427 428 429 430 431 433 434 435 436 437 438 439 440 441 442 443 444 445 446 447 448 450 451 452 454 455 456 457 458 459 460 461 462 463 464 465 466 467 468 469 470 471 472 474 475 487 488 489 492 493 494 496 497 498 499 500 501 502 503 504 505 506 507 508 509 510 511 512 513 514 515 516 517 518 519 520 521 522 523,family,
sout2772,Southern Daly,,,,sout2772,,families,149 150 482,family,
tang1340,Tangkic,,,,tang1340,,families,133 135 136,family,
unat1236,Unattested,,,,unat1236,,families,121 123 213 361,family,
west2434,Western Daly,,,,west2434,,families,208 209 210 211 212 477 480 483 484 485,family,
worr1236,Worrorran,,,,worr1236,,families,3 4 6 182 183 184 185 186 187 188 189 486,family,
yang1287,Yangmanic,,,,yang1287,,families,103 104 106,family,
